Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HasPool,PoolArea,PoolQuality,PoolType
1,1360,5,4,3,1970,Downtown,Excellent,No,149919,Yes,21,Low,Outdoor
2,4272,5,4,3,1958,Downtown,Excellent,No,424998,No,0,None,None
3,3592,2,2,3,1938,Downtown,Good,No,266746,Yes,25,High,Outdoor
4,966,4,2,2,1902,Suburban,Fair,Yes,244020,Yes,33,Low,Indoor
5,4926,1,4,2,1975,Downtown,Fair,Yes,636056,Yes,28,Low,Outdoor
6,3944,1,2,1,1906,Urban,Poor,No,93262,No,0,None,None
7,3671,1,1,2,1948,Rural,Poor,Yes,448722,Yes,17,Low,Outdoor
8,3419,2,4,1,1925,Suburban,Good,Yes,594893,Yes,40,High,Outdoor
9,630,2,2,1,1932,Rural,Poor,Yes,652878,Yes,30,High,Outdoor
10,2185,3,3,1,2000,Downtown,Poor,No,340375,No,0,None,None
11,1269,1,4,2,1947,Suburban,Poor,Yes,653685,Yes,26,Low,Indoor
12,2891,4,4,3,1978,Urban,Excellent,Yes,127123,Yes,32,Low,Indoor
13,2933,4,3,2,1901,Downtown,Poor,No,849947,Yes,46,High,Indoor
14,1684,1,1,1,2004,Rural,Good,No,399355,Yes,25,High,Outdoor
15,3885,1,3,1,1970,Urban,Fair,Yes,481838,No,0,None,None
16,4617,1,4,2,1931,Downtown,Poor,No,853032,Yes,15,Low,Outdoor
17,3404,2,1,1,1903,Urban,Fair,Yes,208964,No,0,None,None
18,974,2,2,1,1919,Downtown,Poor,Yes,905742,No,0,None,None
19,1582,2,2,2,2013,Suburban,Good,No,989305,No,0,None,None
20,3058,5,2,2,2016,Downtown,Excellent,No,218767,Yes,17,Low,Outdoor
21,2547,4,4,2,1935,Suburban,Good,Yes,996357,No,0,None,None
22,3247,4,3,1,1931,Downtown,Excellent,No,709789,Yes,34,Low,Outdoor
23,1475,3,1,1,1927,Downtown,Poor,No,709966,No,0,None,None
24,2306,2,2,3,1976,Rural,Poor,Yes,447694,No,0,None,None
25,689,5,1,3,1900,Urban,Excellent,Yes,688668,No,0,None,None
26,3234,5,4,2,1959,Urban,Good,Yes,527032,No,0,None,None
27,3505,4,2,3,1955,Urban,Good,Yes,745494,No,0,None,None
28,2399,2,4,1,1934,Downtown,Excellent,Yes,513179,No,0,None,None
29,1767,3,3,3,2011,Downtown,Poor,Yes,948212,No,0,None,None
30,2028,2,4,1,1929,Downtown,Excellent,No,206547,No,0,None,None
31,3702,1,4,2,1953,Suburban,Poor,No,902609,Yes,27,Medium,Outdoor
32,4056,2,3,2,1935,Suburban,Excellent,Yes,727090,Yes,34,High,Outdoor
33,4390,1,1,1,2020,Rural,Poor,No,202185,No,0,None,None
34,1146,1,3,3,1954,Downtown,Excellent,No,725371,No,0,None,None
35,3388,3,3,2,1988,Urban,Fair,Yes,105746,No,0,None,None
36,2935,4,4,2,1979,Urban,Poor,No,959507,Yes,21,Medium,Outdoor
37,1100,2,1,3,1957,Rural,Good,No,748213,No,0,None,None
38,2863,1,2,3,1982,Urban,Excellent,Yes,921627,Yes,24,High,Indoor
39,2561,2,3,1,1964,Rural,Good,No,873250,Yes,35,High,Indoor
40,741,4,1,3,1968,Downtown,Excellent,No,218393,Yes,35,High,Outdoor
41,2541,4,3,3,1950,Urban,Good,Yes,333453,Yes,41,High,Outdoor
42,3324,5,3,3,1921,Downtown,Good,No,986192,Yes,19,High,Outdoor
43,3112,4,3,1,1987,Suburban,Excellent,No,340320,No,0,None,None
44,1863,3,3,1,2006,Urban,Excellent,No,643167,No,0,None,None
45,1978,1,4,2,2008,Suburban,Good,Yes,641880,No,0,None,None
46,3056,5,1,1,2015,Urban,Good,Yes,396872,No,0,None,None
47,1275,3,1,2,2000,Downtown,Good,No,270084,No,0,None,None
48,4514,2,1,3,1952,Rural,Poor,No,976920,Yes,25,High,Indoor
49,534,1,3,2,1999,Downtown,Poor,Yes,771782,No,0,None,None
50,3652,4,4,2,1935,Downtown,Fair,Yes,845016,No,0,None,None
51,2455,1,3,3,1967,Downtown,Poor,No,698843,Yes,16,High,Indoor
52,2085,2,3,2,1935,Urban,Poor,Yes,405446,No,0,None,None
53,4443,5,1,1,1951,Rural,Excellent,No,958840,Yes,26,Medium,Outdoor
54,3573,5,3,1,1952,Suburban,Fair,No,593118,No,0,None,None
55,1521,5,2,1,1981,Downtown,Fair,Yes,266897,Yes,32,Low,Outdoor
56,3961,4,3,1,1949,Urban,Poor,Yes,826522,No,0,None,None
57,3113,3,2,2,1979,Suburban,Excellent,No,913498,No,0,None,None
58,4343,3,3,2,1940,Downtown,Excellent,No,840023,Yes,35,Low,Indoor
59,2000,1,4,3,1917,Suburban,Fair,Yes,143878,Yes,30,Medium,Indoor
60,661,4,4,2,1921,Downtown,Excellent,No,175407,Yes,31,Medium,Indoor
61,4797,5,1,2,1965,Suburban,Good,Yes,691157,Yes,16,Medium,Indoor
62,2481,5,3,2,1920,Suburban,Poor,Yes,307716,Yes,23,Medium,Outdoor
63,1495,2,2,3,1999,Rural,Good,Yes,857827,Yes,24,High,Indoor
64,3842,2,2,1,1943,Rural,Fair,Yes,66738,Yes,16,Low,Indoor
65,4298,5,3,2,2002,Downtown,Fair,Yes,183703,Yes,18,High,Outdoor
66,1775,5,2,3,1946,Urban,Excellent,No,723265,No,0,None,None
67,1516,4,4,3,1938,Rural,Excellent,Yes,593344,No,0,None,None
68,837,3,2,3,1928,Suburban,Fair,Yes,815034,Yes,17,Low,Indoor
69,1378,2,1,1,1953,Rural,Fair,Yes,560241,No,0,None,None
70,1576,3,4,2,1989,Rural,Good,Yes,433800,No,0,None,None
71,4493,4,4,3,1984,Downtown,Good,Yes,689604,No,0,None,None
72,879,5,4,1,1916,Rural,Excellent,Yes,740807,No,0,None,None
73,992,3,3,3,1979,Rural,Good,Yes,628706,Yes,32,Low,Indoor
74,2562,5,3,3,1959,Suburban,Excellent,No,873622,No,0,None,None
75,4384,5,4,3,1930,Rural,Excellent,No,76014,Yes,38,Medium,Indoor
76,564,1,3,3,2014,Suburban,Poor,No,778359,No,0,None,None
77,3068,3,2,3,1972,Rural,Excellent,No,813277,No,0,None,None
78,2527,3,3,1,1994,Rural,Good,Yes,231350,No,0,None,None
79,3195,5,3,2,1977,Urban,Fair,No,961995,Yes,27,High,Outdoor
80,1995,4,4,2,1948,Rural,Fair,Yes,838212,No,0,None,None
81,891,1,1,2,2000,Suburban,Good,No,534859,Yes,40,Medium,Indoor
82,4974,5,1,2,1901,Suburban,Fair,No,764618,No,0,None,None
83,4061,2,1,1,2015,Downtown,Excellent,Yes,540339,Yes,39,High,Outdoor
84,2778,2,2,1,1947,Downtown,Fair,Yes,92192,No,0,None,None
85,3599,1,3,1,2009,Urban,Good,No,941307,Yes,48,Low,Outdoor
86,700,4,1,3,1913,Suburban,Fair,No,411273,Yes,44,Medium,Indoor
87,3604,5,4,3,1958,Suburban,Excellent,No,93923,No,0,None,None
88,2954,3,1,3,1996,Suburban,Excellent,No,663484,Yes,27,Medium,Indoor
89,4145,1,1,2,1998,Urban,Good,Yes,576683,No,0,None,None
90,1304,4,3,3,1957,Suburban,Good,No,414593,No,0,None,None
91,3231,3,3,2,2002,Downtown,Good,No,433891,No,0,None,None
92,3273,2,3,3,1957,Urban,Poor,No,802744,No,0,None,None
93,2070,2,2,2,2010,Downtown,Poor,No,458995,No,0,None,None
94,3190,3,2,3,1950,Downtown,Excellent,No,645316,No,0,None,None
95,4340,1,1,3,1983,Urban,Poor,Yes,997226,No,0,None,None
96,1528,2,3,1,1901,Rural,Poor,Yes,450327,No,0,None,None
97,1002,5,1,3,2014,Rural,Fair,Yes,816751,No,0,None,None
98,4993,3,4,3,1940,Downtown,Poor,Yes,715344,No,0,None,None
99,1370,3,4,1,1982,Rural,Fair,Yes,929608,No,0,None,None
100,4988,2,3,2,2022,Suburban,Good,No,777688,Yes,48,Low,Indoor
101,706,1,3,1,2000,Urban,Fair,Yes,305315,Yes,26,Low,Indoor
102,1984,5,4,1,1981,Downtown,Fair,Yes,339068,No,0,None,None
103,1363,1,3,2,1915,Suburban,Good,No,495919,No,0,None,None
104,3290,4,2,3,1903,Rural,Good,Yes,344721,No,0,None,None
105,1063,4,2,2,1911,Suburban,Excellent,Yes,188783,No,0,None,None
106,4691,2,3,3,1928,Rural,Excellent,Yes,659836,No,0,None,None
107,2257,2,4,3,1906,Downtown,Excellent,Yes,307288,No,0,None,None
108,2178,2,1,2,1913,Suburban,Excellent,No,543085,No,0,None,None
109,3742,4,3,1,2018,Urban,Fair,No,545187,No,0,None,None
110,1559,1,3,2,1911,Downtown,Fair,Yes,699381,Yes,23,Low,Outdoor
111,2222,1,1,3,1998,Suburban,Excellent,No,285835,No,0,None,None
112,3814,2,3,2,1904,Suburban,Poor,Yes,971600,Yes,40,Medium,Indoor
113,3657,5,1,2,1980,Rural,Excellent,No,902987,No,0,None,None
114,3125,1,4,3,2021,Downtown,Poor,No,401992,No,0,None,None
115,3229,4,2,1,2005,Downtown,Good,No,256084,Yes,33,High,Indoor
116,2097,3,4,2,1931,Downtown,Fair,No,844686,No,0,None,None
117,3560,3,2,3,1973,Downtown,Fair,No,437554,Yes,44,Medium,Indoor
118,3193,3,1,3,1942,Rural,Poor,No,803315,No,0,None,None
119,4127,5,2,2,1980,Urban,Excellent,No,520336,No,0,None,None
120,1863,2,4,1,1968,Downtown,Fair,No,973469,Yes,43,High,Outdoor
121,2481,4,2,2,1944,Rural,Poor,No,258072,No,0,None,None
122,2163,5,1,1,2005,Urban,Good,No,298029,Yes,12,Medium,Indoor
123,2029,4,2,1,1908,Urban,Good,No,259047,No,0,None,None
124,2538,4,3,1,1948,Rural,Fair,Yes,415169,Yes,46,Medium,Indoor
125,3802,2,4,1,1932,Downtown,Excellent,No,180509,Yes,49,Low,Outdoor
126,2737,3,3,2,1999,Urban,Poor,Yes,812072,No,0,None,None
127,1806,2,1,3,1999,Downtown,Fair,No,345107,No,0,None,None
128,4529,5,2,3,1917,Downtown,Good,Yes,577561,Yes,35,High,Outdoor
129,3175,5,3,3,1908,Suburban,Excellent,Yes,589618,No,0,None,None
130,1782,5,3,3,1961,Downtown,Poor,Yes,202566,No,0,None,None
131,1209,2,2,3,1956,Suburban,Fair,No,650710,No,0,None,None
132,4913,4,2,3,1928,Urban,Poor,No,958521,Yes,32,Medium,Indoor
133,4248,4,4,2,2013,Rural,Excellent,No,53212,Yes,48,Medium,Indoor
134,1163,1,3,1,1977,Suburban,Excellent,No,282131,Yes,24,Low,Indoor
135,2498,5,3,3,1924,Rural,Good,Yes,526657,Yes,13,Low,Indoor
136,3945,4,1,2,1914,Urban,Excellent,No,661882,Yes,38,High,Indoor
137,4243,1,4,3,1905,Downtown,Fair,No,182152,Yes,31,Medium,Outdoor
138,1995,4,1,3,2019,Urban,Poor,No,344819,Yes,34,High,Outdoor
139,3804,5,3,1,1941,Rural,Excellent,No,72007,Yes,22,Medium,Indoor
140,4263,3,1,1,1928,Urban,Excellent,No,688093,Yes,27,High,Indoor
141,2353,5,3,1,1978,Downtown,Fair,No,394785,No,0,None,None
142,1791,2,3,3,1992,Urban,Poor,No,670103,Yes,42,Low,Outdoor
143,4081,4,1,3,1903,Downtown,Poor,No,883247,No,0,None,None
144,3957,4,1,3,1981,Suburban,Good,Yes,919914,No,0,None,None
145,2136,2,2,1,2013,Rural,Good,Yes,837071,No,0,None,None
146,4196,2,2,2,1956,Downtown,Poor,No,375737,Yes,25,Medium,Indoor
147,3499,3,2,3,1948,Downtown,Fair,No,562164,Yes,11,High,Indoor
148,3652,4,3,3,1943,Urban,Fair,No,128038,Yes,44,Low,Indoor
149,1198,4,1,3,2002,Suburban,Good,No,406043,Yes,43,Low,Indoor
150,2660,3,4,2,1979,Downtown,Excellent,Yes,840168,No,0,None,None
151,4597,1,3,3,1974,Suburban,Fair,Yes,827794,Yes,39,High,Indoor
152,1354,3,4,2,1913,Suburban,Excellent,No,66473,Yes,22,Medium,Outdoor
153,3974,5,1,3,1902,Urban,Fair,Yes,703059,Yes,22,Medium,Indoor
154,2207,4,3,2,2014,Downtown,Poor,Yes,175801,Yes,27,Low,Indoor
155,3277,2,4,3,2013,Urban,Good,No,944030,Yes,41,Medium,Indoor
156,2233,5,4,1,1961,Rural,Excellent,No,660911,No,0,None,None
157,4010,4,2,1,2005,Rural,Excellent,No,558252,Yes,41,Medium,Outdoor
158,702,3,2,1,1963,Downtown,Poor,Yes,275097,No,0,None,None
159,3755,5,2,1,2001,Suburban,Fair,Yes,348964,Yes,44,Medium,Outdoor
160,4718,4,3,3,1944,Downtown,Excellent,No,265933,No,0,None,None
161,4996,1,1,1,2005,Downtown,Fair,No,369733,Yes,48,Low,Outdoor
162,1266,1,1,2,1981,Rural,Poor,Yes,771167,Yes,38,High,Outdoor
163,4889,2,2,1,1957,Rural,Good,Yes,330558,No,0,None,None
164,2827,4,2,1,1919,Suburban,Excellent,No,439522,No,0,None,None
165,3431,1,2,1,1957,Suburban,Fair,Yes,74220,No,0,None,None
166,697,3,4,3,2011,Downtown,Excellent,No,634819,Yes,38,Medium,Indoor
167,2430,4,2,1,1988,Urban,Fair,No,422146,No,0,None,None
168,4082,3,4,2,1956,Downtown,Fair,Yes,557409,Yes,25,Low,Outdoor
169,1108,3,1,1,2001,Suburban,Fair,Yes,747785,Yes,19,Low,Indoor
170,3772,1,3,1,1976,Urban,Poor,Yes,59387,No,0,None,None
171,1647,4,3,1,1967,Rural,Good,No,295752,No,0,None,None
172,4782,5,3,2,2018,Suburban,Excellent,No,651103,Yes,39,High,Indoor
173,3897,1,3,1,1977,Suburban,Good,No,601872,Yes,34,Medium,Outdoor
